U235,UO2,Gd2O3,Boron,Water,Pitch,Kmax,Kmin
0.009068467,10.21297656,0.043158729,0.000854361,0.438578922,1.924502854,0.35008,0.34978
0.009339868,10.52767171,0.076248913,0.000496482,0.998640596,1.723015295,0.35079,0.35049
0.011750836,10.31958319,0.023633904,0.000647231,0.825240315,1.92067761,0.35263,0.35231
0.025415709,10.08179764,0.065704416,0.000764979,0.926017578,2.402508035,0.35337,0.35301
0.010695916,10.1494683,0.081219346,0.00094715,0.694908569,1.671963126,0.35413,0.35383
0.00752803,10.24492408,0.045176682,0.000902266,0.008058664,1.679463758,0.35601,0.35575
0.016515312,10.29845981,0.046395538,0.000834877,0.77004234,2.101454763,0.35679,0.35645
0.009323366,10.31261956,0.045239631,0.000514598,0.0026942,1.428705169,0.35718,0.35692
0.0118884,10.49221204,0.094053005,0.000809146,0.647263495,1.933118819,0.35768,0.35738
0.017151592,10.63143895,0.037911227,0.00099857,0.802341281,2.000123199,0.35901,0.35867
0.008774086,10.41057203,0.022871237,0.000200433,0.925444693,2.168964087,0.35982,0.35952
0.009192855,10.70621235,0.026299479,0.00093274,0.87445749,1.466297118,0.36381,0.36353
0.018098923,10.7215389,0.055685606,0.000856839,0.71193597,2.249218904,0.36413,0.36379
0.009346515,10.83672304,0.018646664,0.000890801,0.309146393,2.257450064,0.36533,0.36505
0.00716277,10.83656299,0.048053078,0.000792205,0.259141027,2.008733867,0.36631,0.36601
0.007315739,10.21357463,0.059491172,0.000292278,0.519725195,2.079971435,0.36767,0.36737
0.009953738,10.59061625,0.076892192,0.000519345,0.762994474,1.866273088,0.37041,0.37007
0.008070741,10.82303087,0.011126766,0.000419807,0.924662341,1.708063015,0.37087,0.37059
0.015129682,10.03784893,0.086379096,0.000904559,0.462731857,2.302002529,0.37188,0.37154
0.028926972,10.36777635,0.084973068,0.000773933,0.997107713,2.378815362,0.37285,0.37247
0.011336646,10.45954267,0.033045128,0.000758979,0.41401851,2.26404903,0.37313,0.37285
0.014979687,10.71792346,0.06381815,0.000833206,0.985046382,1.78430713,0.37478,0.37442
0.012410742,10.71409923,0.010237777,0.000650809,0.65928883,2.12392617,0.37483,0.37451
0.013643884,10.75875741,0.041228585,0.000388462,0.736675803,2.475302896,0.37487,0.37455
0.016910506,10.10632591,0.08894022,0.000766414,0.624461414,2.272637339,0.375,0.37464
0.013151344,10.27355777,0.069206742,0.000513283,0.586209639,2.37181847,0.37632,0.37594
0.009328311,10.25299315,0.082984435,0.000819289,0.252976873,2.249940172,0.37798,0.37768
0.008290479,10.64656971,0.095380302,0.000951188,0.036594167,1.365948109,0.37911,0.37883
0.011438448,10.12613252,0.014917011,0.000302576,0.806130874,2.256859462,0.38251,0.38213
0.011115292,10.12835269,0.019436785,0.000934187,0.690246219,1.651660297,0.38378,0.38346
0.010714668,10.44951639,0.077117876,0.000678031,0.83828141,1.659634161,0.3838,0.38346
0.009398375,10.4977534,0.014902602,0.000796487,0.007269346,1.447257539,0.38469,0.38439
0.016062056,10.17861135,0.028444716,0.000589363,0.766657596,2.207734644,0.38623,0.38591
0.011243893,10.52839267,0.075394663,0.000945552,0.905496338,1.479974682,0.38787,0.38753
